date,status,days,mean_above_82,se_above_82,mean_bw_80_82,se_bw_80_82,mean_below_80,se_below_80
2018-06-22,invaded,1,1231.6666666666667,252.04917750071687,21.666666666666668,26.996071543613134,186.66666666666666,229.7956931843167
2018-06-22,native,1,960,140.14602773860233,30.833333333333332,12.583057392117915,449.1666666666667,140.07844122836923
2018-06-23,invaded,2,1125.4166666666667,262.188848779353,46.25,52.79139909286188,268.3333333333333,262.3870608413641
2018-06-23,native,2,940.4166666666666,121.53297968664782,31.666666666666668,17.880071859390547,467.9166666666667,133.10041208414683
2018-06-24,invaded,3,1060,220.90722034374522,41.25,25.94793738518448,338.75,229.1201054627741
2018-06-24,native,3,966.25,126.42146322375946,37.5,19.364916731037084,436.25,123.6954654860807
2018-06-25,invaded,4,1028.3333333333333,191.06559241805056,24.166666666666668,20.541901006715445,387.5,196.19679359811622
2018-06-25,native,4,960.8333333333334,87.82299691925111,27.5,16.16674476707158,451.6666666666667,93.06237725636532
2018-06-26,invaded,5,1132.0833333333333,128.8490719149088,16.666666666666668,15.859229221975182,291.25,122.69928131967048
2018-06-26,native,5,1097.0833333333333,34.34175389531031,22.5,22.105120755977868,320.4166666666667,52.89175624601511
2018-06-27,invaded,6,1387.0833333333333,124.1417506015774,9.583333333333334,22.6091627979508,43.333333333333336,102.29932314121885
2018-06-27,native,6,1306.25,128.135670287395,17.5,10.766108438479101,116.25,123.93409172180627
2018-06-28,invaded,7,1393.3333333333333,110.31634951219591,10.833333333333334,30.51328573032747,35.833333333333336,83.68863649736372
2018-06-28,native,7,1312.5,103.09968697598191,13.333333333333334,10.940611029415575,114.16666666666667,100.63058755425783
2018-06-29,invaded,8,1397.5,99.350161275433,5.416666666666667,13.048568945104728,37.083333333333336,86.92887200394807
2018-06-29,native,8,1325.4166666666667,104.21695755693621,15.833333333333334,16.764862244009226,98.75,101.80473734288864
2018-06-30,invaded,9,1417.5,53.236180451746435,9.166666666666666,26.097137890209456,13.333333333333334,31.790030836821483
2018-06-30,native,9,1404.5833333333333,58.01482307970694,5,8.257228238447706,30.416666666666668,55.286786738594124
2018-07-01,invaded,10,1395.4166666666667,105.60342481820054,11.25,25.237508161104536,33.333333333333336,80.71648849616486
2018-07-01,native,10,1347.0833333333333,114.66271355060405,30,43.84891415676417,62.916666666666664,101.38715924911823
2018-07-02,invaded,11,1273.3333333333333,198.5095982718735,25.833333333333332,29.29732638541158,140.83333333333334,192.56443234943623
2018-07-02,native,11,1097.9166666666667,171.0456921055856,24.583333333333332,16.43974304893941,317.5,173.34280277163882
2018-07-03,invaded,12,1422.0833333333333,57.42419245220501,2.9166666666666665,6.200562046860727,15,51.96152422706632
2018-07-03,native,12,1412.9166666666667,48.26340291158572,8.333333333333334,16.560266430297073,18.75,33.85295743761137
2018-07-04,invaded,13,1405.4166666666667,56.586953737883206,9.166666666666666,16.072751268321593,25.416666666666668,41.69468754765971
2018-07-04,native,13,1362.0833333333333,77.70744475078928,10,11.281521496355325,67.91666666666667,80.23993375930073
2018-07-05,invaded,14,1434.5833333333333,18.76388374866284,1.6666666666666667,5.773502691896257,3.75,12.99038105676658
2018-07-05,native,14,1300.8333333333333,284.43591172492245,13.75,24.599057631617445,125.41666666666667,260.3883317918323
2018-07-06,invaded,15,1397.9166666666667,123.79341907411963,8.333333333333334,18.62712261648849,33.75,107.8113883341897
2018-07-06,native,15,1298.3333333333333,284.66354408904095,7.5,10.552897060221726,134.16666666666666,277.3399074104271
2018-07-07,invaded,16,1365.4166666666667,135.30199107137628,9.583333333333334,19.93835195766889,65,118.68598753165277
2018-07-07,native,16,1235.8333333333333,263.04884901800455,18.333333333333332,26.996071543613134,185.83333333333334,260.47014602387156
2018-07-08,invaded,17,1302.0833333333333,205.718898382028,20,23.64510327934537,117.91666666666667,195.54653402629506
2018-07-08,native,17,1205.8333333333333,248.13699783984185,23.75,28.613807855648993,210.41666666666666,244.5446448674216
2018-07-09,invaded,18,1387.5,96.5189571582137,10,12.96849328880646,42.5,85.02673376383133
2018-07-09,native,18,1337.0833333333333,117.55962381496103,11.666666666666666,10.940611029415573,91.25,109.54710485365727
2018-07-10,invaded,19,1202.9166666666667,238.76060979122744,26.666666666666668,25.524794837866015,210.41666666666666,226.90064238593843
2018-07-10,native,19,1117.9166666666667,152.0235976499183,29.166666666666668,21.724863566192926,292.9166666666667,155.2630953828977
2018-07-11,invaded,20,1102.0833333333333,261.40753913219777,22.083333333333332,19.477064989521924,315.8333333333333,249.7256069927127
2018-07-11,native,20,1035.8333333333333,166.19858512324856,23.75,17.98041864210771,380.4166666666667,158.005441985299
2018-07-12,invaded,21,1105.8333333333333,250.88781749956888,29.166666666666668,26.953945008387016,305,246.62264144382056
2018-07-12,native,21,1033.75,166.1615451628598,37.5,24.633679826980416,368.75,170.4156016118456
2018-07-13,invaded,22,1083.3333333333333,248.37044668776272,45.416666666666664,46.19417187429076,311.25,237.72716408827694
2018-07-13,native,22,1021.6666666666666,159.0787874169922,40,28.36451047604126,378.3333333333333,158.16178904890876
2018-07-14,invaded,23,1213.3333333333333,210.30641425973644,35.833333333333336,29.91148558157835,190.83333333333334,186.76471991803112
2018-07-14,native,23,1174.5833333333333,136.40611712045316,41.25,24.78315043440897,224.16666666666666,116.90775954753492
2018-07-15,invaded,24,1253.3333333333333,160.71337181077337,34.583333333333336,25.801544468688242,152.08333333333334,153.20008208716845
2018-07-15,native,24,1226.6666666666667,130.459560668036,30.833333333333332,30.80977806220655,182.5,116.4142290584477
2018-07-16,invaded,25,1218.3333333333333,213.09764442763338,38.333333333333336,28.709622502610934,183.33333333333334,201.57711510321138
2018-07-16,native,25,1225.8333333333333,150.48155026346907,57.5,36.02398191104466,156.66666666666666,141.41064209234642
2018-07-17,invaded,26,1375.8333333333333,68.91474750909578,11.25,15.244223943394548,52.916666666666664,65.5902685871413
2018-07-17,native,26,1369.1666666666667,54.01318581998513,10,7.977240352174657,60.833333333333336,51.47079195274175
2018-07-18,invaded,27,1440,0,0,0,0,0
2018-07-18,native,27,1411.25,99.59292143521044,2.9166666666666665,10.10362971081845,25.833333333333332,89.489291724392
2018-07-19,invaded,28,1440,0,0,0,0,0
2018-07-19,native,28,1328.3333333333333,386.82468035704926,0.4166666666666667,1.4433756729740643,87.91666666666667,304.55226699752757
2018-07-20,invaded,29,1440,0,0,0,0,0
2018-07-20,native,29,1314.5833333333333,388.2095166116858,12.916666666666666,44.744645862196,22.5,77.94228634059948
2018-07-21,invaded,30,1433.3333333333333,15.56997888323046,4.166666666666667,10.624442944398913,2.5,7.229988054812212
2018-07-21,native,30,1242.9166666666667,389.3144226675525,3.75,6.4402851433203425,133.75,243.54507702980683
2018-07-22,invaded,31,1428.75,38.97114317029974,5,17.320508075688775,6.25,21.650635094610966
2018-07-22,native,31,1135,528.9423409030516,35.45454545454545,70.90326316378342,269.54545454545456,476.7884989460975
2018-07-23,invaded,32,1365.4166666666667,177.32172011415418,24.166666666666668,61.379347034847505,50.416666666666664,171.52336619689794
2018-07-23,native,32,1203.1818181818182,337.2704606637878,26.363636363636363,49.50206607258474,210.45454545454547,345.560809015248
2018-07-24,invaded,33,1406.6666666666667,113.90453206190887,5.833333333333333,18.68802890201169,27.5,95.26279441628824
2018-07-24,native,33,1241.8181818181818,284.1766416093406,22.272727272727273,41.85472711436764,175.9090909090909,289.0226477442398
2018-07-25,invaded,34,1381.25,115.99617940416674,18.333333333333332,29.873470545355836,40.416666666666664,94.06135167425501
2018-07-25,native,34,1297.7272727272727,206.42630205915665,15,23.558437978779494,127.27272727272727,201.11394328046524
2018-07-26,invaded,35,1430.8333333333333,28.74917653629668,2.0833333333333335,4.9810245994781095,7.083333333333333,24.537386440559096
2018-07-26,native,35,1358.6363636363637,170.89603431751874,7.2727272727272725,15.550504230351562,74.0909090909091,166.94038130150207
2018-07-27,invaded,36,1388.3333333333333,122.5363273284764,24.166666666666668,56.602013027699634,27.5,69.13425673676875
2018-07-27,native,36,1233.3333333333333,245.9705574891335,20.833333333333332,24.47942859305389,136.25,153.8169661997957
2018-07-28,invaded,37,1380.4166666666667,144.43397883609052,15,35.22653958181375,44.583333333333336,116.49148102550312
2018-07-28,native,37,1219.1666666666667,226.42310889665004,22.5,17.901244243195652,165.41666666666666,149.26270820471558
2018-07-29,invaded,38,1347.0833333333333,150.0675353016606,14.583333333333334,19.824036527468976,78.33333333333333,146.9590749051235
2018-07-29,native,38,1165.4166666666667,125.77863551301212,30.833333333333332,20.761999086326107,243.75,135.58165939254602
2018-07-30,invaded,39,1415,59.00693333683917,1.6666666666666667,3.892494720807615,23.333333333333332,55.15817475609796
2018-07-30,native,39,1393.75,92.1985259199852,6.666666666666667,8.348471099367218,39.583333333333336,85.10577197959269
2018-07-31,invaded,40,1440,0,0,0,0,0
2018-07-31,native,40,1231.6666666666667,488.8173730979947,4.583333333333333,13.048568945104726,202.08333333333334,474.61687100483925
2018-08-01,invaded,41,1440,0,0,0,0,0
2018-08-01,native,41,1352.2727272727273,290.9584475175419,3.6363636363636362,12.060453783110544,84.0909090909091,278.89799373443134
2018-08-02,invaded,42,1430.4166666666667,33.197640478403486,0.4166666666666667,1.4433756729740643,9.166666666666666,31.754264805429415
2018-08-02,native,42,1249.5454545454545,352.72832708371,11.818181818181818,19.528533902053077,178.63636363636363,349.10665210713836
2018-08-03,invaded,43,1417.0833333333333,55.28678673859413,16.25,48.94918515432844,6.666666666666667,23.09401076758503
2018-08-03,native,43,1138.3333333333333,412.3840516564699,17.5,25.090744399986512,224.58333333333334,299.404396133795
2018-08-04,invaded,44,1378.3333333333333,138.89717147020758,10.833333333333334,20.652243256245832,50.833333333333336,121.93204764303863
2018-08-04,native,44,1147.9166666666667,288.3295016385793,22.5,21.37330535547045,232.91666666666666,213.59965029479943
2018-08-05,invaded,45,1324.1666666666667,188.8943106767925,23.75,41.23794589717318,92.08333333333333,166.37113950624388
2018-08-05,native,45,1148.75,243.88079241525134,31.25,23.464189349265443,213.75,168.53816670524108
2018-08-06,invaded,46,1323.75,202.4410688660687,15,18.21587719046716,101.25,197.589162842316
2018-08-06,native,46,1090.4166666666667,155.49712557023702,25,14.301938838683885,305.4166666666667,123.05686662776046
2018-08-07,invaded,47,1273.75,203.05759371083948,33.333333333333336,36.82472818719245,132.91666666666666,194.67289970303491
2018-08-07,native,47,1138.3333333333333,104.41032109669594,34.583333333333336,21.685597790126778,267.0833333333333,107.79733369390522
2018-08-08,invaded,48,1333.3333333333333,112.19571644175541,18.333333333333332,21.881222058831145,88.33333333333333,110.62494649887425
2018-08-08,native,48,1269.1666666666667,76.03328617165383,14.583333333333334,13.221596199423352,156.25,76.19129632946033
2018-08-09,invaded,49,1400.8333333333333,77.71841168700963,5.416666666666667,9.64325796826074,33.75,74.56312152068938
2018-08-09,native,49,1356.25,78.1352266033934,13.75,13.505049560677799,70,66.64014624015385
2018-08-10,invaded,50,1381.6666666666667,137.05230145215853,6.25,14.943073798434328,52.083333333333336,122.98296876421794
2018-08-10,native,50,1197.5,162.1377080251117,24.166666666666668,14.115325863841196,218.33333333333334,168.86429911367148
2018-08-11,invaded,51,1251.25,223.24186842566476,26.666666666666668,28.471144350132132,162.08333333333334,217.36498770222371
2018-08-11,native,51,1135.8333333333333,121.39030464005789,45.416666666666664,55.53288678928474,259.1666666666667,153.01267525234238
2018-08-12,invaded,52,1393.3333333333333,116.85914857665448,5.833333333333333,14.590366269521402,40.833333333333336,112.63039581128206
2018-08-12,native,52,1362.9166666666667,107.7973336939052,21.25,32.20142571660171,55.833333333333336,98.25369142575701
2018-08-13,invaded,53,1394.5833333333333,82.39203219788288,9.583333333333334,16.713948085538036,35.833333333333336,68.94771844512245
2018-08-13,native,53,1358.75,66.74663764088523,15,13.314380468978918,66.25,62.052946600610206
2018-08-14,invaded,54,1320.4166666666667,196.0108801865732,21.25,40.5151486820334,98.33333333333333,180.06732747570402
2018-08-14,native,54,1298.75,143.41809509263467,29.166666666666668,25.56927607086049,112.08333333333333,140.54210519745794
2018-08-15,invaded,55,1337.9166666666667,101.20766978960846,8.75,12.99038105676658,93.33333333333333,102.87532908007312
2018-08-15,native,55,1286.25,56.493161291675584,18.75,43.491117170374835,135,72.86350876186864
2018-08-16,invaded,56,1371.25,128.36604266351327,17.5,33.54101966249684,51.25,105.01352726716168
2018-08-16,native,56,1255.4166666666667,160.48871856887257,20,16.651508258194728,164.58333333333334,146.96100802181468
2018-08-17,invaded,57,1368.3333333333333,105.01803596900811,22.083333333333332,42.39738056517027,49.583333333333336,92.99213880101843
2018-08-17,native,57,1238.3333333333333,292.55406130812605,20.416666666666668,28.955948779084583,181.25,272.3727809789037
2018-08-18,invaded,58,1307.5,165.33024801617793,28.75,42.0565096031518,103.75,144.1294399300346
2018-08-18,native,58,1163.75,231.26259179477418,19.166666666666668,17.55942292142123,210.83333333333334,171.09053070514946
2018-08-19,invaded,59,1272.9166666666667,204.19974994790732,23.333333333333332,33.257489473208985,143.75,192.04787518646583
2018-08-19,native,59,1132.0833333333333,111.62962976926978,25,12.060453783110546,282.9166666666667,112.3804078147346
2018-08-20,invaded,60,1315.4166666666667,170.0863194398834,23.75,24.2266757559063,100.83333333333333,163.32946810516205
2018-08-20,native,60,1252.9166666666667,115.9243156964792,33.75,20.574145293193943,153.33333333333334,100.2572448829268
2018-08-21,invaded,61,1398.3333333333333,62.17034272988621,11.666666666666666,17.624019422539813,30,61.12580172368814
2018-08-21,native,61,1380,51.96152422706632,6.666666666666667,6.154574548966636,53.333333333333336,49.236596391733094
2018-08-22,invaded,62,1332.9166666666667,165.12334691669042,19.166666666666668,25.39088359425425,87.91666666666667,151.30430405061986
2018-08-22,native,62,1290.4166666666667,134.39186821539553,20.416666666666668,21.36887427729378,129.16666666666666,127.24052622946637
2018-08-23,invaded,63,1213.3333333333333,218.18813122179816,17.5,15.59428799855313,209.16666666666666,209.88994230021572
2018-08-23,native,63,1132.0833333333333,150.3398926876474,30.416666666666668,31.43957648723929,277.5,162.0255310970241
2018-08-24,invaded,64,1248.75,188.0053795168445,24.166666666666668,21.72486356619293,167.08333333333334,185.68617627762723
2018-08-24,native,64,1191.6666666666667,134.7781566692152,25.416666666666668,17.768502946779083,222.91666666666666,136.1559656045117
2018-08-25,invaded,65,1292.5,151.00421426990945,26.666666666666668,24.80224818744291,120.83333333333333,141.0968934219791
2018-08-25,native,65,1242.9166666666667,105.77545542183674,26.25,18.479103677594125,170.83333333333334,98.87626182009083
2018-08-26,invaded,66,1387.0833333333333,80.7200080337564,9.583333333333334,12.695441797127124,43.333333333333336,72.56136379059805
2018-08-26,native,66,1364.5833333333333,69.13288696854819,9.166666666666666,9.962049198956219,66.25,65.09171850690238
2018-08-27,invaded,67,1328.75,178.58185034523322,18.333333333333332,31.358146203711303,87.91666666666667,161.23752007143958
2018-08-27,native,67,1214.5833333333333,186.7114732479615,35,21.74229226018436,158.33333333333334,117.22808640604964
2018-08-28,invaded,68,1338.3333333333333,161.9530422029419,24.583333333333332,44.54100936386057,77.08333333333333,155.78916891592672
2018-08-28,native,68,1246.6666666666667,161.51742564775725,36.25,23.36712920477668,157.08333333333334,160.14848697002378
2018-08-29,invaded,69,1290,350.3310123038184,12.916666666666666,31.65569985537096,137.08333333333334,320.24463896820936
2018-08-29,native,69,1377.5,216.50635094610965,2.9166666666666665,10.10362971081845,59.583333333333336,206.4027212352912
2018-08-30,invaded,70,1186.6666666666667,465.97567890752975,8.333333333333334,15.275252316519465,245,450.8073565585113
2018-08-30,native,70,1210,455.7261937132467,9.166666666666666,25.834555200820517,213.75,422.3264840036782
2018-08-31,invaded,71,1262.9166666666667,308.739801696372,6.666666666666667,17.232808737106584,170.41666666666666,308.20933214982705
2018-08-31,native,71,1199.5833333333333,414.98881876138506,27.5,68.37397165588672,164.16666666666666,292.37921619124376
2018-09-01,invaded,72,1262.0833333333333,276.9349967487721,12.083333333333334,16.98372661393752,165.83333333333334,269.38341493570874
2018-09-01,native,72,1228.3333333333333,368.79615787126374,16.666666666666668,14.512272758119611,195,363.4118625171471
2018-09-02,invaded,73,1274.1666666666667,284.2120953645624,12.916666666666666,23.10630899021986,152.91666666666666,266.5133318627909
2018-09-02,native,73,1297.9166666666667,346.02586827454314,7.083333333333333,10.543919689766344,111.66666666666667,264.65529324467377
2018-09-03,invaded,74,1244.5833333333333,361.89186188275875,9.583333333333334,23.20446012509168,185.83333333333334,348.66520365878813
2018-09-03,native,74,1260.4166666666667,445.53572621433324,4.583333333333333,14.374588268148337,103.33333333333333,242.47149160762018
2018-09-04,invaded,75,1266.6666666666667,314.4138365372309,0.8333333333333334,1.9462473604038073,172.5,313.85795860837777
2018-09-04,native,75,1330,244.82646915723797,8.181818181818182,25.52182666588809,101.81818181818181,227.86259815152562
2018-09-05,invaded,76,1279.1666666666667,264.46200391578276,5.416666666666667,8.382431122004613,155.41666666666666,257.0502102820781
2018-09-05,native,76,1320,248.9076133829578,15.909090909090908,29.901352964220685,104.0909090909091,233.7393653390265
2018-09-06,invaded,77,1262.9166666666667,279.1175895350896,12.916666666666666,20.05201569252661,160,255.28059428437138
2018-09-06,native,77,1194.1666666666667,408.187976601987,29.166666666666668,23.241159935586584,156.25,234.5607597190971
2018-09-07,invaded,78,1285.8333333333333,282.54390916468293,11.25,21.22659138482158,142.91666666666666,269.4814745980049
2018-09-07,native,78,1375.909090909091,192.0002367422783,1.3636363636363635,3.2333489534143167,62.72727272727273,189.0021644897703
2018-09-08,invaded,79,1222.9166666666667,339.2803770370816,12.083333333333334,19.36002598295276,205,332.5042720163019
2018-09-08,native,79,1296.3636363636363,183.4406022271366,15,14.491376746189438,128.63636363636363,183.95775206675728
2018-09-09,invaded,80,1210.8333333333333,343.6953813357333,10.833333333333334,17.55942292142123,193.33333333333334,290.3785408216264
2018-09-09,native,80,1180.8333333333333,349.77157047872186,26.666666666666668,16.001893827313257,212.91666666666666,286.5821977384605
2018-09-10,invaded,81,1242.5,328.85130654777976,7.083333333333333,12.87321626361093,146.66666666666666,249.99393932047576
2018-09-10,native,81,1230.8333333333333,374.3347634825213,17.916666666666668,20.720908778479302,158.33333333333334,254.48998313322966
2018-09-11,invaded,82,1260.909090909091,254.0749710402245,24.545454545454547,30.85891649544305,154.54545454545453,246.63185667563857
2018-09-11,native,82,1142.5,347.74272098780153,35.833333333333336,26.869493798166296,246.25,292.47474638458493
2018-09-12,invaded,83,1376.8181818181818,112.7890226766933,21.363636363636363,48.01514912456844,41.81818181818182,96.4954073330106
2018-09-12,native,83,1285.8333333333333,199.56581659070562,20.416666666666668,20.83030280988529,133.75,184.72491833682173
